Quantify Compound Summary Report 												
												
Printed Tue Mar 26 11:36:13 2024												
												
Compound 1:  Sodium pyruvate m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
22	22	XS1_240322_18_NC_F_15_E1		0								
28	28	XS1_240322_19_NC_F_15_E2		0								
34	34	XS1_240322_22_CA_F_15_F1		0								
32	32	XS1_240322_23_CA_F_15_F2		0	14.3	0.737		0.737	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	14.2	22.875		22.875	bb			3
23	23	XS1_240322_27_NC_F_30_g2		0	14.39	10.322		10.322	bb			3
5	5	XS1_240322_30_CA_h_30_h1		0								
9	9	XS1_240322_31_CA_h_30_h2		0								
12	12	XS1_240322_34_NC_F_45_I1		0	14.46	1.116		1.116	bb			1
11	11	XS1_240322_35_NC_F_45_I2		0	14.3	12.263		12.263	bb			2
3	3	XS1_240322_38_CA_J_45_J1		0	14.56	1.903		1.903	bb			2
7	7	XS1_240322_39_CA_J_45_J2		0	14.4	1.266		1.266	bb			1
33	33	XS1_240322_42_NC_K_60_K1		0	14.46	1.811		1.811	bb			2
14	14	XS1_240322_43_NC_K_60_K2		0								
21	21	XS1_240322_46_CA_F_60_L1		0	14.48	5.583		5.583	bb			3
6	6	XS1_240322_47_CA_F_60_L2		0								
13	13	XS1_240322_50_NC_F_90_M1		0								
30	30	XS1_240322_51_NC_F_90_M2		0	14.53	3.965		3.965	bb			2
26	26	XS1_240322_54_CA_F_90_N1		0	14.19	0.737		0.737	bb			1
37	37	XS1_240322_55_CA_F_90_N2		0								
15	15	XS1_240322_58_NC_media_AK1		0								
16	16	XS1_240322_59_NC_media_AK2		0	14.68	6.895		6.895	bb			3
24	24	XS1_240322_60_CA_media_AL1		0	14.56	1.077		1.077	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	14.4	0.33		0.33	bb			2
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0	14.44	2.489		2.489	bb			3
31	31	XS1_240322_MB_PooledQC_05		0	14.6	4.786		4.786	bb			3
10	10	XS1_240322_MB_PooledQC_06		0								
1	1	XS1_240322_MB_SST_01		0	14.22	22.894		22.894	bb			10
38	38	XS1_240322_MB_SST_02		0	14.19	106.081		106.081	bb			14
												
Compound 23:  Citric acid m+5												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	14.59	0.71		0.71	bb			1
2	2	XS1_240322_02_NC_C_A2		0	14.19	6.64		6.64	bb			2
8	8	XS1_240322_06_CA_C_B1		0	14.22	3.452		3.452	bb			2
20	20	XS1_240322_07_CA_C_B2		0	14.06	9.348		9.348	bb			2
36	36	XS1_240322_10_NC_F_7_C1		0	14.19	9.06		9.06	bb			3
29	29	XS1_240322_11_NC_F_7_C2		0	14.23	1.977		1.977	bb			3
27	27	XS1_240322_14_CA_F_7_D1		0	14.39	1.348		1.348	bb			2
35	35	XS1_240322_15_CA_F_7_D2		0	14.22	1.087		1.087	bb			2
22	22	XS1_240322_18_NC_F_15_E1		0								
28	28	XS1_240322_19_NC_F_15_E2		0	14.24	0.686		0.686	bb			1
34	34	XS1_240322_22_CA_F_15_F1		0	14.21	2.518		2.518	bb			3
32	32	XS1_240322_23_CA_F_15_F2		0	14.24	1.542		1.542	bb			3
4	4	XS1_240322_26_NC_F_30_g1		0	14.34	22.409		22.409	bb			3
23	23	XS1_240322_27_NC_F_30_g2		0	14.34	2.635		2.635	bb			2
5	5	XS1_240322_30_CA_h_30_h1		0	14.23	0.648		0.648	bb			1
9	9	XS1_240322_31_CA_h_30_h2		0	14.24	1.032		1.032	bb			1
12	12	XS1_240322_34_NC_F_45_I1		0	14.25	0.18		0.18	bb			1
11	11	XS1_240322_35_NC_F_45_I2		0	14.47	1.727		1.727	bb			1
3	3	XS1_240322_38_CA_J_45_J1		0								
7	7	XS1_240322_39_CA_J_45_J2		0	14.25	9.388		9.388	bb			2
33	33	XS1_240322_42_NC_K_60_K1		0	14.35	1.778		1.778	bb			2
14	14	XS1_240322_43_NC_K_60_K2		0	14.12	3.211		3.211	bb			2
21	21	XS1_240322_46_CA_F_60_L1		0	14.3	19.949		19.949	bb			3
6	6	XS1_240322_47_CA_F_60_L2		0	14.37	0.997		0.997	bb			1
13	13	XS1_240322_50_NC_F_90_M1		0	14.24	7.188		7.188	bb			3
30	30	XS1_240322_51_NC_F_90_M2		0	14.33	17.076		17.076	bb			2
26	26	XS1_240322_54_CA_F_90_N1		0	14.33	3.474		3.474	bb			2
37	37	XS1_240322_55_CA_F_90_N2		0	14.24	2.819		2.819	bb			2
15	15	XS1_240322_58_NC_media_AK1		0	14.18	7.521		7.521	bb			3
16	16	XS1_240322_59_NC_media_AK2		0	14.39	0.168		0.168	bb			1
24	24	XS1_240322_60_CA_media_AL1		0	13.99	10.559		10.559	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	14.52	0.715		0.715	bb			1
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0	14.55	0.83		0.83	bb			2
31	31	XS1_240322_MB_PooledQC_05		0	14.06	0.802		0.802	bb			2
10	10	XS1_240322_MB_PooledQC_06		0	14.24	11.375		11.375	bb			2
1	1	XS1_240322_MB_SST_01		0								
38	38	XS1_240322_MB_SST_02		0								
												
Compound 24:  Citric acid m+6												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	14.61	38.527		38.527	bb			8
2	2	XS1_240322_02_NC_C_A2		0	14.12	0.441		0.441	bb			1
8	8	XS1_240322_06_CA_C_B1		0	14.62	8.521		8.521	bb			4
20	20	XS1_240322_07_CA_C_B2		0	14.6	24.843		24.843	bb			4
36	36	XS1_240322_10_NC_F_7_C1		0	14.55	0.168		0.168	bb			1
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0	14.06	10.071		10.071	bb			7
22	22	XS1_240322_18_NC_F_15_E1		0	14.6	11.524		11.524	bb			10
28	28	XS1_240322_19_NC_F_15_E2		0	14.08	4.625		4.625	bb			4
34	34	XS1_240322_22_CA_F_15_F1		0	14.55	24.391		24.391	bb			6
32	32	XS1_240322_23_CA_F_15_F2		0	14.05	3.116		3.116	bb			3
4	4	XS1_240322_26_NC_F_30_g1		0	14.1	7.005		7.005	bb			4
23	23	XS1_240322_27_NC_F_30_g2		0	14.06	2.946		2.946	bb			4
5	5	XS1_240322_30_CA_h_30_h1		0	14.54	19.255		19.255	bb			4
9	9	XS1_240322_31_CA_h_30_h2		0	14.12	5.44		5.44	bb			4
12	12	XS1_240322_34_NC_F_45_I1		0	14.55	44.877		44.877	bb			7
11	11	XS1_240322_35_NC_F_45_I2		0	14.59	49.232		49.232	bb			5
3	3	XS1_240322_38_CA_J_45_J1		0	14.25	57.463		57.463	bb			4
7	7	XS1_240322_39_CA_J_45_J2		0	14.59	47.533		47.533	bb			5
33	33	XS1_240322_42_NC_K_60_K1		0	14.6	31.609		31.609	bb			7
14	14	XS1_240322_43_NC_K_60_K2		0	14.53	41.075		41.075	bb			7
21	21	XS1_240322_46_CA_F_60_L1		0	14.58	26.017		26.017	bb			4
6	6	XS1_240322_47_CA_F_60_L2		0	14.6	43.836		43.836	bb			5
13	13	XS1_240322_50_NC_F_90_M1		0	14.6	27.219		27.219	bb			4
30	30	XS1_240322_51_NC_F_90_M2		0	14.59	32.79		32.79	bb			7
26	26	XS1_240322_54_CA_F_90_N1		0	14.3	22.797		22.797	bb			4
37	37	XS1_240322_55_CA_F_90_N2		0	14.6	47.649		47.649	bb			5
15	15	XS1_240322_58_NC_media_AK1		0	14.07	5.393		5.393	bb			4
16	16	XS1_240322_59_NC_media_AK2		0	14.52	18.346		18.346	bb			5
24	24	XS1_240322_60_CA_media_AL1		0	14.31	1.551		1.551	bb			3
19	19	XS1_240322_61_CA_media_AL2		0	14.58	7.221		7.221	bb			6
18	18	XS1_240322_MB_PooledQC_03		0	14.58	13.084		13.084	bb			6
25	25	XS1_240322_MB_PooledQC_04		0	14.02	15.385		15.385	bb			7
31	31	XS1_240322_MB_PooledQC_05		0	14.56	13.174		13.174	bb			8
10	10	XS1_240322_MB_PooledQC_06		0	14.13	12.01		12.01	bb			4
1	1	XS1_240322_MB_SST_01		0								
38	38	XS1_240322_MB_SST_02		0								
												
Compound 25:  Malate/Fumarate m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0								
2	2	XS1_240322_02_NC_C_A2		0								
8	8	XS1_240322_06_CA_C_B1		0								
20	20	XS1_240322_07_CA_C_B2		0								
36	36	XS1_240322_10_NC_F_7_C1		0								
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0	12.97	3.537		3.537	bb			2
22	22	XS1_240322_18_NC_F_15_E1		0								
28	28	XS1_240322_19_NC_F_15_E2		0								
34	34	XS1_240322_22_CA_F_15_F1		0								
32	32	XS1_240322_23_CA_F_15_F2		0								
4	4	XS1_240322_26_NC_F_30_g1		0								
23	23	XS1_240322_27_NC_F_30_g2		0								
5	5	XS1_240322_30_CA_h_30_h1		0								
9	9	XS1_240322_31_CA_h_30_h2		0								
12	12	XS1_240322_34_NC_F_45_I1		0								
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	13.56	411.444		411.444	bb			106
7	7	XS1_240322_39_CA_J_45_J2		0								
33	33	XS1_240322_42_NC_K_60_K1		0								
14	14	XS1_240322_43_NC_K_60_K2		0								
21	21	XS1_240322_46_CA_F_60_L1		0								
6	6	XS1_240322_47_CA_F_60_L2		0								
13	13	XS1_240322_50_NC_F_90_M1		0								
30	30	XS1_240322_51_NC_F_90_M2		0								
26	26	XS1_240322_54_CA_F_90_N1		0								
37	37	XS1_240322_55_CA_F_90_N2		0								
15	15	XS1_240322_58_NC_media_AK1		0								
16	16	XS1_240322_59_NC_media_AK2		0								
24	24	XS1_240322_60_CA_media_AL1		0	13.53	9.99		9.99	bb			6
19	19	XS1_240322_61_CA_media_AL2		0	13.06	0.269		0.269	bb			1
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0								
31	31	XS1_240322_MB_PooledQC_05		0								
10	10	XS1_240322_MB_PooledQC_06		0								
1	1	XS1_240322_MB_SST_01		0	13.22	333754.156		333754.156	bb			35970
38	38	XS1_240322_MB_SST_02		0	13.21	314209.344		314209.344	bb			23259
												
Compound 26:  Malate/Fumarate m+1												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0								
2	2	XS1_240322_02_NC_C_A2		0	13.59	1.664		1.664	bb			4
8	8	XS1_240322_06_CA_C_B1		0								
20	20	XS1_240322_07_CA_C_B2		0								
36	36	XS1_240322_10_NC_F_7_C1		0	13.11	0.326		0.326	bb			1
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0								
22	22	XS1_240322_18_NC_F_15_E1		0	13.46	3.321		3.321	bb			2
28	28	XS1_240322_19_NC_F_15_E2		0	13.5	0.434		0.434	bb			1
34	34	XS1_240322_22_CA_F_15_F1		0	12.98	0.274		0.274	bb			1
32	32	XS1_240322_23_CA_F_15_F2		0	13.59	0.147		0.147	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0								
23	23	XS1_240322_27_NC_F_30_g2		0								
5	5	XS1_240322_30_CA_h_30_h1		0	13.41	0.458		0.458	bb			1
9	9	XS1_240322_31_CA_h_30_h2		0	13.59	8.058		8.058	bb			8
12	12	XS1_240322_34_NC_F_45_I1		0	13.54	1.119		1.119	bb			2
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	13.52	10.595		10.595	bb			7
7	7	XS1_240322_39_CA_J_45_J2		0								
33	33	XS1_240322_42_NC_K_60_K1		0								
14	14	XS1_240322_43_NC_K_60_K2		0	13.19	0.479		0.479	bb			1
21	21	XS1_240322_46_CA_F_60_L1		0								
6	6	XS1_240322_47_CA_F_60_L2		0								
13	13	XS1_240322_50_NC_F_90_M1		0								
30	30	XS1_240322_51_NC_F_90_M2		0								
26	26	XS1_240322_54_CA_F_90_N1		0	13.06	0.117		0.117	bb			0
37	37	XS1_240322_55_CA_F_90_N2		0	13.14	0.557		0.557	bb			1
15	15	XS1_240322_58_NC_media_AK1		0	13.06	0.18		0.18	bb			0
16	16	XS1_240322_59_NC_media_AK2		0	13.29	1.401		1.401	bb			2
24	24	XS1_240322_60_CA_media_AL1		0	12.91	0.36		0.36	bb			1
19	19	XS1_240322_61_CA_media_AL2		0	13.36	0.526		0.526	bb			1
18	18	XS1_240322_MB_PooledQC_03		0	12.97	0.309		0.309	bb			1
25	25	XS1_240322_MB_PooledQC_04		0								
31	31	XS1_240322_MB_PooledQC_05		0	13.13	1.253		1.253	bb			1
10	10	XS1_240322_MB_PooledQC_06		0	13.59	3.613		3.613	bb			3
1	1	XS1_240322_MB_SST_01		0	13.22	6552.284		6552.284	bb			4076
38	38	XS1_240322_MB_SST_02		0	13.21	5666.144		5666.144	bb			3233
												
Compound 27:  Malate/Fumarate m+2												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0								
2	2	XS1_240322_02_NC_C_A2		0								
8	8	XS1_240322_06_CA_C_B1		0								
20	20	XS1_240322_07_CA_C_B2		0	13.4	0.569		0.569	bb			1
36	36	XS1_240322_10_NC_F_7_C1		0								
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0								
22	22	XS1_240322_18_NC_F_15_E1		0								
28	28	XS1_240322_19_NC_F_15_E2		0								
34	34	XS1_240322_22_CA_F_15_F1		0								
32	32	XS1_240322_23_CA_F_15_F2		0								
4	4	XS1_240322_26_NC_F_30_g1		0								
23	23	XS1_240322_27_NC_F_30_g2		0								
5	5	XS1_240322_30_CA_h_30_h1		0								
9	9	XS1_240322_31_CA_h_30_h2		0	13.57	0.664		0.664	bb			1
12	12	XS1_240322_34_NC_F_45_I1		0								
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	13.41	5.07		5.07	bb			5
7	7	XS1_240322_39_CA_J_45_J2		0								
33	33	XS1_240322_42_NC_K_60_K1		0								
14	14	XS1_240322_43_NC_K_60_K2		0								
21	21	XS1_240322_46_CA_F_60_L1		0								
6	6	XS1_240322_47_CA_F_60_L2		0								
13	13	XS1_240322_50_NC_F_90_M1		0								
30	30	XS1_240322_51_NC_F_90_M2		0								
26	26	XS1_240322_54_CA_F_90_N1		0								
37	37	XS1_240322_55_CA_F_90_N2		0								
15	15	XS1_240322_58_NC_media_AK1		0	13.42	0.389		0.389	bb			2
16	16	XS1_240322_59_NC_media_AK2		0	12.94	0.746		0.746	bb			2
24	24	XS1_240322_60_CA_media_AL1		0	13.3	0.808		0.808	bb			1
19	19	XS1_240322_61_CA_media_AL2		0								
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0								
31	31	XS1_240322_MB_PooledQC_05		0								
10	10	XS1_240322_MB_PooledQC_06		0								
1	1	XS1_240322_MB_SST_01		0	13.21	603.07		603.07	bb			442
38	38	XS1_240322_MB_SST_02		0	13.21	404.757		404.757	bb			253
												
Compound 28:  Malate/Fumarate m+3												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	13.25	7.552		7.552	bb			8
2	2	XS1_240322_02_NC_C_A2		0	13.26	16.543		16.543	bb			15
8	8	XS1_240322_06_CA_C_B1		0	13.25	20.134		20.134	bb			18
20	20	XS1_240322_07_CA_C_B2		0	13.24	14.303		14.303	bb			12
36	36	XS1_240322_10_NC_F_7_C1		0	13.24	8.441		8.441	bb			12
29	29	XS1_240322_11_NC_F_7_C2		0	13.25	11.266		11.266	bb			19
27	27	XS1_240322_14_CA_F_7_D1		0	13.25	14.837		14.837	bb			18
35	35	XS1_240322_15_CA_F_7_D2		0	13.26	8.387		8.387	bb			14
22	22	XS1_240322_18_NC_F_15_E1		0	13.25	9.433		9.433	bb			13
28	28	XS1_240322_19_NC_F_15_E2		0	13.24	6.617		6.617	bb			11
34	34	XS1_240322_22_CA_F_15_F1		0	13.25	10.265		10.265	bb			13
32	32	XS1_240322_23_CA_F_15_F2		0	12.98	0.306		0.306	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	13.28	14.6		14.6	bb			13
23	23	XS1_240322_27_NC_F_30_g2		0	13.25	9.766		9.766	bb			15
5	5	XS1_240322_30_CA_h_30_h1		0	13.27	13.635		13.635	bb			19
9	9	XS1_240322_31_CA_h_30_h2		0	13.25	12.071		12.071	bb			12
12	12	XS1_240322_34_NC_F_45_I1		0	13.27	14.077		14.077	bb			15
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	13.27	17.148		17.148	bb			17
7	7	XS1_240322_39_CA_J_45_J2		0	13.29	13.826		13.826	bb			10
33	33	XS1_240322_42_NC_K_60_K1		0	13.12	0.514		0.514	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0	13.26	15.07		15.07	bb			12
21	21	XS1_240322_46_CA_F_60_L1		0	13.23	6.692		6.692	bb			5
6	6	XS1_240322_47_CA_F_60_L2		0	13.26	16.903		16.903	bb			13
13	13	XS1_240322_50_NC_F_90_M1		0	13.25	17.085		17.085	bb			12
30	30	XS1_240322_51_NC_F_90_M2		0	13.26	8.758		8.758	bb			12
26	26	XS1_240322_54_CA_F_90_N1		0	13.24	13.763		13.763	bb			14
37	37	XS1_240322_55_CA_F_90_N2		0	13.24	15.831		15.831	bb			19
15	15	XS1_240322_58_NC_media_AK1		0	13.26	7.717		7.717	bb			12
16	16	XS1_240322_59_NC_media_AK2		0	13.24	4.929		4.929	bb			6
24	24	XS1_240322_60_CA_media_AL1		0	13.26	16.642		16.642	bb			23
19	19	XS1_240322_61_CA_media_AL2		0	13.24	11.581		11.581	bb			12
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0	12.83	0.122		0.122	bb			1
31	31	XS1_240322_MB_PooledQC_05		0	12.78	5.839		5.839	bb			2
10	10	XS1_240322_MB_PooledQC_06		0	13.25	11.688		11.688	bb			12
1	1	XS1_240322_MB_SST_01		0	13.22	13.028		13.028	bb			5
38	38	XS1_240322_MB_SST_02		0	13.22	9.469		9.469	bb			6
												
Compound 29:  Malate/Fumarate m+4												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	12.73	1.384		1.384	bb			2
2	2	XS1_240322_02_NC_C_A2		0	13.41	11.398		11.398	bb			4
8	8	XS1_240322_06_CA_C_B1		0	13.27	8.863		8.863	bb			5
20	20	XS1_240322_07_CA_C_B2		0	13.41	4.07		4.07	bb			3
36	36	XS1_240322_10_NC_F_7_C1		0								
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0	13.23	1.28		1.28	bb			1
22	22	XS1_240322_18_NC_F_15_E1		0	13.26	0.22		0.22	bb			1
28	28	XS1_240322_19_NC_F_15_E2		0	13.43	11.166		11.166	bb			3
34	34	XS1_240322_22_CA_F_15_F1		0	13.24	2.089		2.089	bb			2
32	32	XS1_240322_23_CA_F_15_F2		0	13.25	1.574		1.574	bb			3
4	4	XS1_240322_26_NC_F_30_g1		0	13	1.188		1.188	bb			2
23	23	XS1_240322_27_NC_F_30_g2		0								
5	5	XS1_240322_30_CA_h_30_h1		0	13.29	10.233		10.233	bb			4
9	9	XS1_240322_31_CA_h_30_h2		0	13.24	5.998		5.998	bb			3
12	12	XS1_240322_34_NC_F_45_I1		0								
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	13.27	11.128		11.128	bb			4
7	7	XS1_240322_39_CA_J_45_J2		0								
33	33	XS1_240322_42_NC_K_60_K1		0	13.28	2.695		2.695	bb			2
14	14	XS1_240322_43_NC_K_60_K2		0	13.27	10.73		10.73	bb			4
21	21	XS1_240322_46_CA_F_60_L1		0	12.85	1.211		1.211	bb			2
6	6	XS1_240322_47_CA_F_60_L2		0								
13	13	XS1_240322_50_NC_F_90_M1		0								
30	30	XS1_240322_51_NC_F_90_M2		0								
26	26	XS1_240322_54_CA_F_90_N1		0								
37	37	XS1_240322_55_CA_F_90_N2		0								
15	15	XS1_240322_58_NC_media_AK1		0	13.35	7.917		7.917	bb			3
16	16	XS1_240322_59_NC_media_AK2		0	12.89	10.043		10.043	bb			2
24	24	XS1_240322_60_CA_media_AL1		0	13.2	3.514		3.514	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	13.25	0.832		0.832	bb			2
18	18	XS1_240322_MB_PooledQC_03		0	12.92	0.073		0.073	bb			1
25	25	XS1_240322_MB_PooledQC_04		0	13.03	1.532		1.532	bb			3
31	31	XS1_240322_MB_PooledQC_05		0								
10	10	XS1_240322_MB_PooledQC_06		0	12.88	15.337		15.337	bb			3
1	1	XS1_240322_MB_SST_01		0	13.28	0.616		0.616	bb			1
38	38	XS1_240322_MB_SST_02		0	13.24	10.602		10.602	bb			3
												
Compound 30:  a-Ketoglutaric acid m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0								
2	2	XS1_240322_02_NC_C_A2		0	14.36	4.462		4.462	bb			4
8	8	XS1_240322_06_CA_C_B1		0	13.76	7.204		7.204	bb			4
20	20	XS1_240322_07_CA_C_B2		0	14.12	9.293		9.293	bb			3
36	36	XS1_240322_10_NC_F_7_C1		0	13.59	4.942		4.942	bb			5
29	29	XS1_240322_11_NC_F_7_C2		0	13.57	12.547		12.547	bb			5
27	27	XS1_240322_14_CA_F_7_D1		0	13.56	6.137		6.137	bb			6
35	35	XS1_240322_15_CA_F_7_D2		0	14.29	1.943		1.943	bb			3
22	22	XS1_240322_18_NC_F_15_E1		0	13.61	14.658		14.658	bb			6
28	28	XS1_240322_19_NC_F_15_E2		0	13.57	12.143		12.143	bb			5
34	34	XS1_240322_22_CA_F_15_F1		0	13.62	14.077		14.077	bb			5
32	32	XS1_240322_23_CA_F_15_F2		0	13.6	0.34		0.34	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	13.57	17.015		17.015	bb			6
23	23	XS1_240322_27_NC_F_30_g2		0	13.59	7.877		7.877	bb			5
5	5	XS1_240322_30_CA_h_30_h1		0	14.36	8.551		8.551	bb			6
9	9	XS1_240322_31_CA_h_30_h2		0	14.42	1.446		1.446	bb			3
12	12	XS1_240322_34_NC_F_45_I1		0	13.61	3.596		3.596	bb			3
11	11	XS1_240322_35_NC_F_45_I2		0	14.29	6.61		6.61	bb			3
3	3	XS1_240322_38_CA_J_45_J1		0	14.07	1.3		1.3	bb			3
7	7	XS1_240322_39_CA_J_45_J2		0	14.31	0.462		0.462	bb			2
33	33	XS1_240322_42_NC_K_60_K1		0	14.28	0.228		0.228	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0	14.34	2.413		2.413	bb			4
21	21	XS1_240322_46_CA_F_60_L1		0	14.27	0.947		0.947	bb			2
6	6	XS1_240322_47_CA_F_60_L2		0	14.19	1.362		1.362	bb			3
13	13	XS1_240322_50_NC_F_90_M1		0	14.36	0.338		0.338	bb			1
30	30	XS1_240322_51_NC_F_90_M2		0	14.22	1.204		1.204	bb			2
26	26	XS1_240322_54_CA_F_90_N1		0	13.65	1.057		1.057	bb			2
37	37	XS1_240322_55_CA_F_90_N2		0								
15	15	XS1_240322_58_NC_media_AK1		0	13.59	2.029		2.029	bb			3
16	16	XS1_240322_59_NC_media_AK2		0	14.31	8.282		8.282	bb			4
24	24	XS1_240322_60_CA_media_AL1		0								
19	19	XS1_240322_61_CA_media_AL2		0	14.31	3.623		3.623	bb			4
18	18	XS1_240322_MB_PooledQC_03		0	14.36	5.933		5.933	bb			5
25	25	XS1_240322_MB_PooledQC_04		0	14.42	0.623		0.623	bb			1
31	31	XS1_240322_MB_PooledQC_05		0	14.31	8.681		8.681	bb			2
10	10	XS1_240322_MB_PooledQC_06		0	14.36	6.867		6.867	bb			3
1	1	XS1_240322_MB_SST_01		0	13.59	1103.36		1103.36	bb			1199
38	38	XS1_240322_MB_SST_02		0	13.57	1092.728		1092.728	bb			1341
												
Compound 31:  a-Ketoglutaric acid m+1												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	13.74	0.454		0.454	bb			1
2	2	XS1_240322_02_NC_C_A2		0								
8	8	XS1_240322_06_CA_C_B1		0								
20	20	XS1_240322_07_CA_C_B2		0	13.57	7.92		7.92	bb			2
36	36	XS1_240322_10_NC_F_7_C1		0								
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0								
22	22	XS1_240322_18_NC_F_15_E1		0	14.17	0.257		0.257	bb			1
28	28	XS1_240322_19_NC_F_15_E2		0								
34	34	XS1_240322_22_CA_F_15_F1		0	14.29	4.758		4.758	bb			2
32	32	XS1_240322_23_CA_F_15_F2		0	14.11	2.553		2.553	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	14.3	2.149		2.149	bb			2
23	23	XS1_240322_27_NC_F_30_g2		0								
5	5	XS1_240322_30_CA_h_30_h1		0	13.65	0.734		0.734	bb			2
9	9	XS1_240322_31_CA_h_30_h2		0	13.99	3.894		3.894	bb			2
12	12	XS1_240322_34_NC_F_45_I1		0	13.62	1.793		1.793	bb			2
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	13.65	0.253		0.253	bb			1
7	7	XS1_240322_39_CA_J_45_J2		0								
33	33	XS1_240322_42_NC_K_60_K1		0	13.7	0.952		0.952	bb			2
14	14	XS1_240322_43_NC_K_60_K2		0	13.53	0.929		0.929	bb			2
21	21	XS1_240322_46_CA_F_60_L1		0	13.66	7.98		7.98	bb			2
6	6	XS1_240322_47_CA_F_60_L2		0	14.09	14.05		14.05	bb			3
13	13	XS1_240322_50_NC_F_90_M1		0	14.25	0.168		0.168	bb			1
30	30	XS1_240322_51_NC_F_90_M2		0	13.66	1.09		1.09	bb			2
26	26	XS1_240322_54_CA_F_90_N1		0	14.31	5.818		5.818	bb			2
37	37	XS1_240322_55_CA_F_90_N2		0								
15	15	XS1_240322_58_NC_media_AK1		0	13.79	0.727		0.727	bb			1
16	16	XS1_240322_59_NC_media_AK2		0	13.63	0.818		0.818	bb			2
24	24	XS1_240322_60_CA_media_AL1		0	13.8	3.959		3.959	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	13.86	0.571		0.571	bb			1
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0	14.34	3.028		3.028	bb			3
